normalized_text;aspect
alhamdulillah;Dukungan terhadap Program
buka mata yang menghujat program ini;Pelaksanaan Program di Sekolah
gaji dewan perwakilan rakyat seharusnya untuk mereka makanlah saja;Ketidaksetujuan dan Risiko Program
masya allah tidak kuat berapa banyak amal jariah bapak;Dukungan terhadap Program
makanlah ya adik habiskan pintar sehat semuanya alhamdulillah ya allah;Dukungan terhadap Program
siapa yang menaruh  bawang merah di sini;Ketidaksetujuan dan Risiko Program
alhamdulilah sudah  sampai papua;Dukungan terhadap Program
lebih di utamakan pelosok deh lebih di hargai;Dukungan terhadap Program
melihat melihat yang mengatakan program mbg gagal melihat muka adik adik kita yang senang bersekolah menjadi lebih semangat jangan hanya melihat dari sisi buruk nya;Dukungan terhadap Program
masya allah tabarakallah;Dukungan terhadap Program
ini ya yang tidak membutuhkan makanlah gratis;Pelaksanaan Program di Sekolah
barakallah tujuannya baik jangan dikorupsi iya bapak ibu yang terhormat;Ketidaksetujuan dan Risiko Program
terharu makanlah yang lahap ya Anak karena sampai detik ini kami masih berjuang melawan anak abah;Pelaksanaan Program di Sekolah
kejamnya para koruptor liatlah anak kita ini;Ketidaksetujuan dan Risiko Program
ikhlas kok pembayaran pajak kalau digunakan seperti ini;Dukungan terhadap Program
sehat sehat ya adik;Dukungan terhadap Program
saya selalu mengatakan kepada murid-murid kalau makanannya harus dihabiskan bentuk merasa syukur kita kepada allah atas rezeki dan bentuk apresiasi kepada semua yang telah terlibat atas makanan ini kalau tidak lezat setidaknya ini bergizi menjadi  adanya manfaatnya untuk tubuh ayo habiskan bersemangat ya;Dukungan terhadap Program
lihat lah bapak tersenyum tersenyum yang terukir di wajah mereka teimakasih bapak prabowo atas semua bekerja kerasmu sampai hari ini tidak sedikitpun menyesal kami memilihmu;Pelaksanaan Program di Sekolah
alam jangan didengar kan mereka yang menghujat karena mereka tidak turut terlibat sebenarnya mereka iri karena tidak dapat mendapatkan di posisi kakak bersemangat kakak untuk membangun generasi hebat menuju indonesia emas;Dukungan terhadap Program
pino masa program baik seperti begini masih belum di dukungan;Ketidaksetujuan dan Risiko Program
melihat ini wahai warganet anak anak menjadi  senang;Pelaksanaan Program di Sekolah
entah mengapa menangis sendiri melihat adik adiknya;Pelaksanaan Program di Sekolah
alhamdulillah;Dukungan terhadap Program
terima memberikan bapak perut rakyat lebih penting dari sama-sama perut anggota dewan;Ketidaksetujuan dan Risiko Program
senyumnya lebar sekali;Pelaksanaan Program di Sekolah
makanlah yang lahap ya adik semoga kalian menjadi generasi emas yang membawa indonesia maju dan di segani dunia;Dukungan terhadap Program
bersekolah yang rajin dan belajar yang pintar ya adik adik tercinta semoga kelak nanti menjadi presiden ri;Pelaksanaan Program di Sekolah
terima kasih bapak presiden bahagianya sampai sini;Dukungan terhadap Program
maju terus badan gizi nasional;Ketidaksetujuan dan Risiko Program
melihat ini weh lihat;Pelaksanaan Program di Sekolah
program sangat baik masih engkau menghina mad asli madura;Dukungan terhadap Program
makanan gratis ini sangat baik di distribusikan kepada papua semua mereka sangat mengahargainya;Pelaksanaan Program di Sekolah
kok di bersekolah saya kapan makan bergizi;Pelaksanaan Program di Sekolah
mbg tepat sasaran sangat amat mendukung program bapak prabowo bagus sekali presiden saya kami mendukungmu selalu;Dukungan terhadap Program
ini baru pemerataan semua anak indonesia makanlah semoga menjadi anak yang sukses di masa depan membangun negara ini mengobati keadaan negara ini yang sekarang lagi sulit;Ketidaksetujuan dan Risiko Program
bapak kami kok belum mendapat mbg bapak;Ketidaksetujuan dan Risiko Program
riil nya di lapangan banyak yang mubazir bocah-bocah tidak ingin makanlah;Pelaksanaan Program di Sekolah
izin saran bapak presiden lebih baik biaya makanan 10 ribu di mbg itu diuangkan saja setiap bulannya itung an saja 10 ribu sekali 26 hari 260rb per anak per setiap bulannya yang dapat dipergunakan untuk keperluan bersekolah seperti membeli buku paket membeli seragam dan alat tulis sisanya dapat membantu keperluan lauk pauk di rumah;Ketidaksetujuan dan Risiko Program
bapak terima kasih telah adanya program mbg masyarakat sini merasa terbantu sekali dengan adanya program ini saya merasa senang sekali bapak yang dahulunya gaji saya 780 satu bulan sekarang  dengan adanya ini saya merasa bersyukur sekali bapak sehat selalu bapak dan perluaskan lagi bapak program ini dan banyak lowongan untuk masyarakat;Dukungan terhadap Program
program pembangkrutan apbn negara;Ketidaksetujuan dan Risiko Program
dengan adanya ini mbg menciptakan lapangan bekerja membantu perekonomian petani sayur peternak ayam ikan telur semangat bapak prabowo terima kasih program mbg nmya;Ketidaksetujuan dan Risiko Program
lebih baik di berikan langsung uang tunai kepada orang tua menjadi  membangkitkan daya membeli orang tua daripada mbg di korupsi oknum yang mengurus jalannya mbg;Ketidaksetujuan dan Risiko Program
berhenti mbg saya mohon;Ketidaksetujuan dan Risiko Program
di mata pembenci program ini pasti tidak adanya bagusnya;Dukungan terhadap Program
terima kasih bapak prabowo subianto makanlah gratis nya lezat;Dukungan terhadap Program
wkkw lucu membaca membaca komentar di berbagai media sosial melihat anggaran telah di tetapkan adanya yang mengatakan memaksakan janji pemilihan presiden nanti kalau tidak di jalanin mengatakan nya tidak dapat menepati janji;Dukungan terhadap Program
lebih baik memberikan uang nya saja 10 ribu per hari;Ketidaksetujuan dan Risiko Program
tidak efisien bapak banyak membuang membuang anggaran;Ketidaksetujuan dan Risiko Program
maaf bapak programnya gagal bapak karena makanan hampir setiap hari tidak di makanlah yang di makanlah hanya buahnya sama susu karena memang tidak lezat;Pelaksanaan Program di Sekolah
tetapi kan tidak semua anak ingin makanlah;Pelaksanaan Program di Sekolah
banyak yang mubazir bapak lebih baik memberikan uangnya langsung;Ketidaksetujuan dan Risiko Program
berhenti mbg demi keselamatan anak bangsa;Pelaksanaan Program di Sekolah
bapak tolong di berhenti mbg nya saya sebagai guru merasa memprihatinkan setiap hari melihat makanan terbuang sia-sia mubazir lebih baik untuk orang yang lebih membutuhkan;Pelaksanaan Program di Sekolah
lebih baik perbaiki kesehatan dahulu terus bersekolah terus standar hidup tinggi;Ketidaksetujuan dan Risiko Program
izin bertanya bapak kalau anggaran mbg diserap dari anggaran rapbn berarti dari hasil pajak rakyat juga kan;Ketidaksetujuan dan Risiko Program
terima memberikan bapak prabowo kami umkm sudah merasakannya karena mendapat menciptakan lapangan bekerja kami hanya pemasok satu kebutuhan pokok saja sudah menyerap 7 orang pengangguran yang sama sekali tidak adanya bekerja;Ketidaksetujuan dan Risiko Program
lebih baik bersekolah gratis bapak daripada makanan gratis sebab kalau makanan sepertinya cukup untuk siswa sekarang;Pelaksanaan Program di Sekolah
baguss bapak dana triliunan begitu langsung di rasakan masyarakat dari sama-sama di mengorupsi sama oknum-oknum tertentu;Ketidaksetujuan dan Risiko Program
mubazir bapak anak anak tidak ingin makanlah karena makanan nya tidak lezat;Pelaksanaan Program di Sekolah
lebih baik setiap bulan di memberikan beras 10 kilogram per kakak;Ketidaksetujuan dan Risiko Program
kalau di melihat dari program nya dan sistem pengerjaan nya saya menduga pasti banyak penyelewengan bapak;Ketidaksetujuan dan Risiko Program
konsepnya benar bapak gizi anak tanggung jawab orang tua permudah bapaknya mencari nafkah agar dapat menafkahi keluarganya intinya buka lapangan pekerjaan sebanyak banyaknya memberikan kail bukan ikan agar berkelanjutan;Ketidaksetujuan dan Risiko Program
program yang membuat negeri bangkrut;Dukungan terhadap Program
program nya kurang tepat hanya pemborosan anggaran negara;Ketidaksetujuan dan Risiko Program
tolong setiap bulan dapur mbg di audit bapak prabowo;Ketidaksetujuan dan Risiko Program
presiden yang sebenarnya bapak saya  kang dedi mulyadi;Ketidaksetujuan dan Risiko Program
mbg dapat tepat sasaran tergantung yang memasaknya makanan sehat kalau dapat mengolahnya menjadi lezat tidak akan mubazir ini rata-rata yang memasaknya menyukai adanya yang asal-asalan maka dari itu terkadang mubazir sebaiknya memberikan variasi yang menarik telur puyuh jangan hanya telur direbus mencoba dbacem atau disop dengan makaroni dan wortel sama ayam suwir ditambah untuk tempenya digoreng  renyah atau diungkep nasinya juga  jangan yang pera yang agak pulan buah jangan semangka lebih baik jeruk sayurnya jangan kangkung itu malahan membuat mengantuk anggaran sekian besar kalau pengelolanya jujur tidak menyelipkan lagi uangnya terus upah pekerja dibayarnya sesuai agar bekerja juga  tidak asalkan saya menyukai melihat berikan komentar video tiktok yang memang sebagian pengelola mbg adanya yang tidak benar;Pelaksanaan Program di Sekolah
berhenti mbg bapak merusak harga pasar;Ketidaksetujuan dan Risiko Program
mbg padahal sangat berguna untuk anak dua kenapa sama-sama membenci program ini;Dukungan terhadap Program
alhamdulillah semenjak adanya mbg saya tidak memberikan camilan kepada anak anak tetap dapat makanlah karena takut beliau camilan sembarangan kadang membawa tempat nasi untuk dibungkus membawa pulang sisa makanannya beliau memberikan adiknya dengan ekonomi saya yang terbilang cukup bahkan kurang saya sgat bersyukur ditambah sekarang saya dapat pekerjaan menjadi sppg masya allah saya terbantu sekali terima kasih bapak prabowo;Pelaksanaan Program di Sekolah
tidak bisin uang saja tidak adanya manfa atnya lebih baik di untuk kesehatan gratis atau sekolah gratis;Pelaksanaan Program di Sekolah
44 persen anggaran pendidikan kepada mbg pantas saja guru tidak digaji dalang nya prabowo;Ketidaksetujuan dan Risiko Program
bapak presiden lebih baik dihentikan saja mbg nya berikan saja uang nya;Ketidaksetujuan dan Risiko Program
tolong ya di kabupaten saya anak nya sama-sama keracunan mbg dan masuk rumah sakit tolong ya kalau ingin memberikan mbg harus di periksa dahulu sebelum di memberikan bakso kurang matang dan mi nya telah bau;Pelaksanaan Program di Sekolah
program mbg tidak berguna bapak banyak yang keracunan;Dukungan terhadap Program
rumah saya di sewa untuk dapur;Ketidaksetujuan dan Risiko Program
saya berharap tidak adanya manusia yang mengorupsi dengan memanfaatkan program mbg ini agar dana yang tersedia dapat tercukupi untuk memenuhi kebutuhan gizi anak masa depan yang optimal;Ketidaksetujuan dan Risiko Program
muadzir bapak sayang tidak di makanlah anak berbeda-beda selera makan nya apalagi anak tk sd makanannya sulit berikan uangnya saja agar di memasak sama ibu nya;Pelaksanaan Program di Sekolah
tidak tahu bapak dikaji lagi alihkan program berikan uangnya;Ketidaksetujuan dan Risiko Program
saya sudah mendapat;Ketidaksetujuan dan Risiko Program
hebat mbg ini bukan mengenai anak-anak bersekolah yang senang orang tua juga senang tidak usah repot-repot menyiapkan makan sudah di menangani sama negara petani-petani terbantu;Pelaksanaan Program di Sekolah
adanya mbg alhamdulillah saya dan suami saya mendapat pekerjaan terima memberikan banyak bapak prabowo;Ketidaksetujuan dan Risiko Program
inti nya pemikiran bapak prabowo agar adanya pemutaran perekonomian dari petani nelayan peternak karena yang di sajikan itu sayur beras telur ikan daging dan lain-lain berjaya jaya jaya;Ketidaksetujuan dan Risiko Program
bapak saya belum mendapat bagian;Ketidaksetujuan dan Risiko Program
bukan makanlah bergizi bapak tetapi  anak keracunan makanlah bergizi;Pelaksanaan Program di Sekolah
saran saya lebih baik di berhenti saja untuk mbg bapak banyak makanan mubazir terbuang setiap hari karena perihal makanan masing-masing anak mood mood an untuk memakan nya tidak apa-apa mengapa bapak tidak memenuhi janji nya pasti semua masyarakat paham lebih baik di alokasikan untuk hal lebih penting berbeda nya misalnya bersekolah gratis atau kesehatan berobat gratis di permudah kalau pun adanya pemberian di bersekolah lebih baik bagikan susu roti biskuit saja bapak insya allah anak-anak semua menyukai kalau pun tidak terminum makanlah di bersekolah dapat mereka membawa pulang ke rumah untuk keluarga nya;Pelaksanaan Program di Sekolah
bapak lebih baik setiap bulan memberikan saja kepada orang tua masing-masing jelas amanah;Pelaksanaan Program di Sekolah
mbg sangat baik tetapi  belum saatnya karena negara masih defisit anggaran;Ketidaksetujuan dan Risiko Program
saya kemarin tidak mendukung beliau tetapi  program ini sangat berdampak luar biasa tehadap anak adanya tambahan gizi dan terutama pemberdayaan masyarakat;Ketidaksetujuan dan Risiko Program
program mbg menurut saya tidak tepat karena di jawa banyak makan uang nya saja bapak kalau di papua baru tepat karena sulit makan;Ketidaksetujuan dan Risiko Program
jika di uangkan sungguh luar biasa merata perputaran uang di seluruh nusantara;Ketidaksetujuan dan Risiko Program
terima kasih bapak presiden alhamdulillah makanlah gratis telah membantu anak saya semoga terus berlanjut;Dukungan terhadap Program
tidak enak;Pelaksanaan Program di Sekolah
terima kasih programnya puas sekali omong-omong hemat uang camilan;Dukungan terhadap Program
bapak sayangilah ibu saya yang berjualan di kantin bersekolah;Pelaksanaan Program di Sekolah
umkm bagaimana kantin-kantin bersekolah lumpuh semua;Pelaksanaan Program di Sekolah
diganti saja bapak dengan pendidikan sma gratis;Ketidaksetujuan dan Risiko Program
kita harus yakin dan mensukseskan mbg demi generasi baru yang berkualitas;Ketidaksetujuan dan Risiko Program
bapak prabowo sebelumnya mohon maaf belum sampai pelosok ini pegagan cirebon;Ketidaksetujuan dan Risiko Program
bapak katanya sudah terbagi di seluruh provinsi tetapi  kami belum mendapat kami dari frovinsi bangka belitung di desa zed kecamatan mendo barat tolong sekarang;Dukungan terhadap Program
tujuannya sangat mulia hanya sistemnya terlalu rumit apa lebih baik di memasak di dapur masing-masing tetapi menu nya dengan arahan ahli gizi dan diawasi dapat guru dipastikan siswa setiap hari membawa bekal kelebihannya satu masakan lebih sesuai dengan selera anak dua anggaran dapat lebih efisien karena tidak perlu adanya tender tidak perlu membangun dapur sppg tidak perlu bagi-bagi tender tidak perlu merekrut karyawan sehingga anggaran dapat dimaksimalkan untuk menjunjung proses kbm tiga ini yang paling penting untuk menghindari kasus keracunan massal;Ketidaksetujuan dan Risiko Program
anak-anak sama-sama tidak ingin makanlah;Pelaksanaan Program di Sekolah
ingin sampai kapan mbg sampai negara miskin kah;Ketidaksetujuan dan Risiko Program
mbg itu konsepnya bagaimana sih makanannya setiap hari hanya saat ingin difoto divideo saja baru di memberikan mbg atau diberikan setiap hari serius bertanya;Pelaksanaan Program di Sekolah
belum adanya sampai sekarang makan gratis sampai di bersekolah;Pelaksanaan Program di Sekolah
335t di bagi sama tikus 1t;Ketidaksetujuan dan Risiko Program
rugi negara bapak;Ketidaksetujuan dan Risiko Program
hapus program makanlah gratis bapak di sekolahan banyak yang tidak ingin makanlah mubazir;Pelaksanaan Program di Sekolah
tidak adanya mnfaan sma sekali makanlah gratis itu bapak lebih baik bapak uang sebanyak itu untuk rakyat yang kurang mampu ekonomi nya lebih baik turux harga brang di pasar agar masyarakat dapat merasa dengan harga murah dari uang negara rakyatnya di di mana di mengatakan makanlah bgizi di memasak saja jam 11 mlam baru di makan anak bersekolah jam 11 siang;Ketidaksetujuan dan Risiko Program
dari pusat 15 ribu box sampai kepada siswa sisa 8 ribu box;Ketidaksetujuan dan Risiko Program
kalau sekian banyak mengapa sppi tidak langsung diangkat pegawai pemerintah dengan perjanjian kerja dan segera semua di beri penempatan bekerja di dapur mbg bapak prabowo banyak sppi yang masih menganggur sudah mendapat tempat malahan penempatannya diisi nama orang berbeda padahal sudah pendampingan sampai diverifikasi id nya sudah nama pendamping nya e penempatan nama orang berbeda terus yang bersangkutan sampai sekarang belum mendapat penempatan lagi mana letak keadilannya;Ketidaksetujuan dan Risiko Program
maaf bapak anak-anak tidak adanya yang ingin memakan karena masakannya terkadang tidak begitu selera terasa hambar terkadang pedas yang tidak di sarankan untuk balita menjadi  kesimpulannya sangat mubazir tidak di makan terkadang susu kotaknya juga terasa mubazir tidak adanya yang diminum;Pelaksanaan Program di Sekolah
program mulia bapak presiden prabowo terima kasih;Dukungan terhadap Program
bapak prabowo tetap kuat tekat memberi makanlah anak anak indonesia dan akan mengangkat derajat rakyat jelata dan seluruh rakyat indonesia di mata intern;Pelaksanaan Program di Sekolah
lebih baik di uang kan saja bapak setiap hari makan ya basi;Pelaksanaan Program di Sekolah
yang untung ya itu-itu saja orang-orang dari partai tidak benar kalau dahulu adanya yang bicara mbg itu benar satu program bagi-bagi proyek;Ketidaksetujuan dan Risiko Program
program yang tidak adanya gunanya apalagi menambah beban belanja yang mubazir lebih baik sekolah gratis;Ketidaksetujuan dan Risiko Program
jombang kediri kapan bapak;Dukungan terhadap Program
bapak untuk anak tk juga lah agar adil;Pelaksanaan Program di Sekolah
bapak presiden prabowo lebih baik ditiadakan mbg ditiadakan bantuan lebih baik turunkan harga sembilan bahan pokok seperti beras 10 nol satu kilogram;Ketidaksetujuan dan Risiko Program
kami tidak ada katanya seluruh provinsi;Dukungan terhadap Program
lah di sini bangunannya malahan terbengkalai di mengorupsi gaji tukang belum sama-sama di pembayaran penuh;Ketidaksetujuan dan Risiko Program
tidak perlu makan gratis cukup buka lapangan bekerja baru bapak dengan 335 terliun itu banyak pabrik dapat di bangun untuk rakyat bekerja dari sama-sama di makanlah gratis berikan orang-orang tahu siswa pekerjaan yang layak lebih baik dari sama-sama makan gratis;Ketidaksetujuan dan Risiko Program
bagi para pengusaha umkm juga sangat membantu akhirnya juga dapat menambah membantu untuk lingkungan sekitar bu ibu sebab saya pemasok langsung roti di pemalang program ini sangat membantu terima kasih bapak presiden;Ketidaksetujuan dan Risiko Program
tidak efektif hanya menjadi  bancakan pejabat dan kroni-kroninya lebih baik anggaran nya langsung kepada orang tua murid seperti program kang dedi mulyadi;Ketidaksetujuan dan Risiko Program
kita makanlah dapat mengapa bapak mencari sendiri rakyat membutuhkan bekerja dan gaji sangat baik;Ketidaksetujuan dan Risiko Program
program tidak jelas anaknya makanlah bapaknya menganggur;Ketidaksetujuan dan Risiko Program
prabowo mbg nya memberikan sendok lah prabowo sulit kalau tidak adanya sendok khusus anak sma beri bonus surya dua batang lah prabowo;Dukungan terhadap Program
bapak lebih baik meneruskan program yang telah adanya yaitu pmt lokal lagi pula juga tujuan nya sama kan untuk menurunkan prevalensi stunting bapak;Ketidaksetujuan dan Risiko Program
program perusak keuangn negra;Dukungan terhadap Program
lebih baik bersekolah gratis sampai pendidikan tinggi seragam gratis buku gratis dan lapangan bekerja untuk ibu-ibu yang tidak memiliki ijazah terutama ibu-ibu tunggal orang tua yang tidak memiliki pekerjaan tetap agar dapat memberi uang saku bersekolah anaknya;Pelaksanaan Program di Sekolah
lebih baik untuk pembayaran utang negara zaman  sekarang rata rata telah dapat mencari makanlah sendiri;Ketidaksetujuan dan Risiko Program
pertama omong-omong ini mengapa belum adanya di bersekolah saya ya admin;Ketidaksetujuan dan Risiko Program
banyak yang keracunan;Pelaksanaan Program di Sekolah
di diganti uang camilan saja rupiah 10 di bagi kan kepada siswa setiap hari nya ini juga dapat meringankan beban kepada orang tua murid karena kalau tidak adanya uang saku camilan biasa anak tidak ingin pergi kepada bersekolah dengan uang 10 itu pun juga dapat membantu umkm di masyarakat sekitar bersekolah;Ketidaksetujuan dan Risiko Program
mbg membuat omzet umkm drop;Ketidaksetujuan dan Risiko Program
tidak pernah mendapat mbg sekolahan saya;Ketidaksetujuan dan Risiko Program
di tempat saya cuci ompring gaji di bawah dua juta sial;Ketidaksetujuan dan Risiko Program
bapak kenyataannya di lapangan jauh dari anggaran yang bapak sediakan kasihan bapak anggarannya;Ketidaksetujuan dan Risiko Program
maaf bukannya tidak berterima kasih bapak tetapi  saya sebagai orang tua sebenarnya lebih memilih sekolahnya yang gratis bapak karena banyak saya jumpai di pelosok desa banyak anak pintar tidak dapat lanjutkan bersekolah karena tidak dapat membayar daftar ulang bapak;Pelaksanaan Program di Sekolah
niat presiden prabowo baik allah yang balas kebaikan bapak;Dukungan terhadap Program
maaf bapak berita melalui tiktok makanlah adanya yang keracunan itu benar tidak;Pelaksanaan Program di Sekolah
yang menerima di tengah sudah berpikir bagaimana caranya masuk kantong uang yang dari atas yang dari bawah juga lagi berpikir rakyat yang menerima eh mengapa seperti nasi harga 8 ribu rupiah;Ketidaksetujuan dan Risiko Program
belum mendapat;Ketidaksetujuan dan Risiko Program
berhenti saja bapak di lapangan banyak yang mubazir;Ketidaksetujuan dan Risiko Program
lauk nya basi bapak parah;Pelaksanaan Program di Sekolah
terima kasih bapak prabowo saya sangat setuju sangat membantu sumber daya manusia banyak anak anak yatim yang bersekolah membutuhkan makanlah gratis banyak anak anak orang miskin yang sulit ekonomi tetapi  banyak anak anak nya yang sama-sama bersekolah terkadang sama sekali tidak di berikan uang sakunya;Pelaksanaan Program di Sekolah
program untuk kesempatan mengorupsi;Ketidaksetujuan dan Risiko Program
banyak yang keracunan bapak;Pelaksanaan Program di Sekolah
semoga bapak presiden prabowo sehat panjang umur lancar sukses program nya semoga sppi yang belum dapat dapur semoga cepat dapat penempatan sesuai domisili amin ya rabbal alamin;Dukungan terhadap Program
izin bapak jika mbg berjalan di sekolahan lalu bagaimana penjual makanlah di sekoalhan kantin sekolahan izin lagi orang tua juga tahu mana yang bergizi mana yang tidak selama mereka memiliki uang untuk membeli makanan bergizi orang tua juga akan memberikan yang terbaik untuk putra putri mereka menjadi  yang terpenting kesejahteraan masyarakat nya bapak bukan makanlah satu sekali sehari untuk anak dengan nominal 10 ribu per porsi;Ketidaksetujuan dan Risiko Program
gizi dari mana bapak paket 10 ribu rupiah lebih baik untuk seragam bersekolah bagikan sisanya untuk tabungan anak;Ketidaksetujuan dan Risiko Program
saya belum adanya di sekolah saya kapan di sekolah saya bapak;Pelaksanaan Program di Sekolah
lebih baik buka lapangan bekerja bapak;Ketidaksetujuan dan Risiko Program
menciptakan phk massal;Ketidaksetujuan dan Risiko Program
banyak di membuang nya daripada di makanlah nya tidak adanya gizi nya sama sekali bapak lebih baik di uang kan saja bermanfaat;Pelaksanaan Program di Sekolah
bapak mengapa pakai dana pendidikan sih ya saya kira 300 t itu di luar dari yang 700t hampir 40 hanya untuk makanlah lebih baik gaji honorer di tingkat sudah agar fokus mengajar;Ketidaksetujuan dan Risiko Program
terima kasih bapak prabowo mbg sangat membantu rakyat nya;Dukungan terhadap Program
utang negara pikirkan juga bapak;Ketidaksetujuan dan Risiko Program
lebih baik berikan uang nya saja 10 nol ibu nya yang memasak;Ketidaksetujuan dan Risiko Program
tetapi  sayang makanan yang di memberikan adanya yang basi;Pelaksanaan Program di Sekolah
lebih baik makanlah gratis seperti begini dari sama-sama uang nya di mengorupsi iya kan;Ketidaksetujuan dan Risiko Program
masih kurang menambah menjadi  400 triliun;Ketidaksetujuan dan Risiko Program
bersekolah saya belum mendapat bapak;Pelaksanaan Program di Sekolah
di tempat saya makanan nya basi terus;Pelaksanaan Program di Sekolah
mubazir bapak prabowo menjadi  malahan banyak utang apa uang pribadi bapak prabowo ya ini;Ketidaksetujuan dan Risiko Program
senang melihat anak anak makanlah bersama di bersekolah sehat selalu bapak presiden;Pelaksanaan Program di Sekolah
makanan bergizi nma saja dilpangan tol di audit anak-anak tidak ingin makanlah pada umumnya;Pelaksanaan Program di Sekolah
tetapi  kami belum mendapat bapak prabowo;Dukungan terhadap Program
bapak boleh meminta tidak mbg bentuk nya camilan saja seperti roti tawar susu buah buahan kalau nasi rata rata banyak yang terbuang bapak apalagi anak anak banyak yang pemilih makanan;Pelaksanaan Program di Sekolah
terima kasih prabowo program yang brmnfaat;Dukungan terhadap Program
bersekolah kami tidak adanya;Pelaksanaan Program di Sekolah
indonesia emas katanya 2045 dari makanlah tempe generasi emas itu bapak seperti china sumber daya manusia maju di didik pintar cerdas dengan teknologi maju masih sd telah di ajar merakit mobil coding merakit mesin bukan makanlah tempe makanlah saja tidak membuat sumber daya manusia maju;Ketidaksetujuan dan Risiko Program
mbg itu sampai presiden diganti atau sementara;Ketidaksetujuan dan Risiko Program
mungkin bila digunakan untuk subsidi bahan pokok dengan persyaratan tertentu lebih dapat membantu;Ketidaksetujuan dan Risiko Program
kabupaten bandung ibu hamil tidak adanya bapak uang hanya susu sama biskuit saja;Ketidaksetujuan dan Risiko Program
lebih penting memberikan uang membeli kudapan saja agar uanganya dapat berputar di jajan menjadi  ekonomi merata kalau mbg benar mematikan pedagang bersekolah menjadi  sama-sama sepi tidak sama-sama camilan anak nya;Ketidaksetujuan dan Risiko Program
mantap bapak presiden programnya sehat terus anak indonesia;Dukungan terhadap Program
di bersekolah saya belum dapat mbg nya;Ketidaksetujuan dan Risiko Program
siyapa tahu anakcucu saya dapat menjadi presiden seperti bapak prabowo;Dukungan terhadap Program
al hmdulilah ya allah bapak presiden memohon siswa pondok juga  diberikan bapak presiden mereka juga  generasi  bangsa juga  bapak;Dukungan terhadap Program
menghentikan saja bapak diganti dengan pendidikan gratis;Ketidaksetujuan dan Risiko Program
mantap bapak presiden lanjutkan bapak presiden;Dukungan terhadap Program
bapak prabowo lanjutkan bapak semoga allah selalu melindungi bapak;Dukungan terhadap Program
mohon maaf bapak semenjak adanya mbg gaji suami saya hilang yang tadi nya dua juta sekarang tanggal satu dua juta hanya itu harapan kami sedang kan suami saya 16 tahun menjadi honorer tanpa adanya kejelasan tolong membantu kami bapak rakyat kecil ini;Ketidaksetujuan dan Risiko Program
batalkan untuk makanlah gratis bapak presiden saya alihkan kepada fasilitas bersekolah;Ketidaksetujuan dan Risiko Program
masih adanya bersekolah yang belum mendapat bapak;Pelaksanaan Program di Sekolah
banyak dapur fiktif bapak saya yang sudah  menjadi  dapurnya tidak di vertif titiknya;Ketidaksetujuan dan Risiko Program
bersekolah saya belum mendapat bapak;Pelaksanaan Program di Sekolah
saya belum mendapat;Ketidaksetujuan dan Risiko Program
mantap bapak sangat membantu bagi kami daripada uang triliunan di menggelapkan  tikus-tikus kantor dan banyak di sini pengangguran terbantu mendapatkan pekerjaan dan gajinya pun lumayan untuk kami yang ada di perdesaan;Ketidaksetujuan dan Risiko Program
lebih baik di memberikan uangnya;Ketidaksetujuan dan Risiko Program
lanjutkan mbg bapak prabowo karena sangat membantu terima memberikan bapak prabowo;Dukungan terhadap Program
semga tidak adanya mengorupsi di dalam nya;Ketidaksetujuan dan Risiko Program
tidak sesuai yang di bicarakan;Ketidaksetujuan dan Risiko Program
bapak prabowo izin kami meminta bapak tolong di bubar kan saja bapak makanlah gratis ini uang nya di alihkan kan saja bantuan untuk anak-anak ingin masuk bersekolah kepada smp dan sma untuk anak-anak tetap makanlah di rumah saja bapak lebih aman dan sehat;Pelaksanaan Program di Sekolah
bapak tolong di dikaji ulang;Ketidaksetujuan dan Risiko Program
wait habis saya hitung total per mangkok nya hanya empat 041 rupiah yakin kah ini bergizi untuk per porsi tidak masuk akal harganya;Ketidaksetujuan dan Risiko Program
bapak saya belum mendapat makanlah gratis;Pelaksanaan Program di Sekolah
prabowo tidak memiliki ponsel prabowo tidak memiliki tiktok menjadi  beliau tidak tahu kalian komentar apa tahu beliau hanya joget tidak lebih;Dukungan terhadap Program
arjunsing kalau ikhlas jangan isi pidato targetkan berapa pun habis yang penting merata tepat janji di sekolah di bali saja belum merata bagaimana ini prabowo;Pelaksanaan Program di Sekolah
program mbg bapak prabowo adalah program yang cenderung untuk rakyat itu lah cara bapak presiden mencintai rakyatnya titik;Dukungan terhadap Program
tim yang belum mendapat;Ketidaksetujuan dan Risiko Program
maaf bapak programnya sangat baik tetapi  mohon maaf di lapangan banyak yang tidak makanlah enakan masakan ibu kandungnya lebih baik diberi kepada orang tua kandungnya;Pelaksanaan Program di Sekolah
bapak saya terbantu atas adanya mbg bapak setidaknya orang yang tidak memiliki pekerjaan dapat bekerja di situ  mohon bapak dilanjut walaupun untuk menyambung kehidupan yang semakin semakin banyak orang menganggur dapat bekerja di situ  asalkan ingin;Ketidaksetujuan dan Risiko Program
izin bapak presiden lebih baik untuk pendidikan gratis drpdp buat makanan gratis;Pelaksanaan Program di Sekolah
banyak yang mubazir nya bapak prabowo jangan diteruskan lebih baik diberikan uang nya kepada orang tua nya agar dimasak di rumah masing;Pelaksanaan Program di Sekolah
program s teler ide siapa ini;Ketidaksetujuan dan Risiko Program
